pivot_time,pivot_price,pivot_type,structure,leg_return_pct,leg_bars,leg_duration_sec
2024-10-01 10:50:00+00:00,70.07,low,LL,-0.24202733485193528,1,60.0
2024-10-01 10:51:00+00:00,70.08,high,LH,0.014271442842872517,1,60.0
2024-10-01 10:52:00+00:00,69.97,low,LL,-0.15696347031963764,1,60.0
2024-10-01 10:53:00+00:00,70.26,high,HH,0.41446334143204755,1,60.0
2024-10-01 10:54:00+00:00,70.23,low,HL,-0.0426985482493647,1,60.0
2024-10-01 10:55:00+00:00,70.37,high,HH,0.19934500925531395,1,60.0
2024-10-01 10:56:00+00:00,70.27,low,HL,-0.14210601108428644,1,60.0
2024-10-01 10:57:00+00:00,70.37,high,LH,0.14230823964709316,1,60.0
2024-10-01 10:58:00+00:00,70.32,low,HL,-0.07105300554215432,1,60.0
2024-10-01 10:59:00+00:00,70.6,high,HH,0.3981797497155881,1,60.0
2024-10-01 11:00:00+00:00,70.59,low,HL,-0.01416430594899376,1,60.0
2024-10-01 11:01:00+00:00,70.85,high,HH,0.36832412523017943,1,60.0
2024-10-01 11:02:00+00:00,70.71,low,HL,-0.19760056457304165,1,60.0
